"","BC.r1","BC.r2","BC.r3","Pre.r1","Pre.r2","Pre.r3","Pos.r1","Pos.r2","Pos.r3"
"PHYBL_132691T0",7390,7308,6202,9619,8527,5486,4038,2616,3812
"PHYBL_132693T0",1916,2234,2070,2162,1689,1692,780,596,826
"PHYBL_132711T0",214,315,198,863,615,743,120,231,198
"PHYBL_132744T0",814,1027,1129,1354,866,1212,839,730,870
"PHYBL_132757T0",426,464,375,332,288,251,206,194,165
"PHYBL_132759T0",1591,1850,2084,1937,1140,1308,1267,902,1290
"PHYBL_132787T0",2412,2455,1935,2209,2394,1322,1329,768,1089
"PHYBL_132802T0",348,329,376,587,420,342,303,282,342
"PHYBL_132811T0",2371,3739,2700,5163,4599,2370,540,430,585
"PHYBL_132830T0",696,794,1168,573,405,506,384,413,440
"PHYBL_132838T0",2136.18490685325,2189.45398302364,3242.08682003776,2908.35303189162,2199.49596950126,1861.09625507595,1955.65574073269,1851.36573852739,1613.43201662834
"PHYBL_132850T0",1351,1439,1562,2457,1953,1488,1103,831,1172
"PHYBL_132855T0",9841,10751,8582,5631,5996,2988,495,425,375
"PHYBL_132867T0",44975.3981786047,51786.546767653,41241.8472464478,30445.7553579232,31670.5072246198,22305.3811438879,25751.5057997802,19623.482730143,29955.9407372064
"PHYBL_132887T0",720,799,710,933,666,719,362,300,391
"PHYBL_132891T0",667,752,758,682,551,357,307,238,318
"PHYBL_132896T0",20398.9379398051,26452.9087710709,24753.8829747858,15826.9944724244,15507.8284281581,12110.6452809817,14492.8591888906,11680.3735753572,15505.0422692739
"PHYBL_132902T0",552,652,941,508,440,489,542,473,379
"PHYBL_132906T0",285,218,235,388,212,402,111,84,108
"PHYBL_132918T0",148,220,252,229,175,218,127,126,118
"PHYBL_132938T0",537,608,748,1117,773,863,460,350,444
"PHYBL_132951T0",5579,6854,6041,3343,2549,2158,2090,2024,2202
"PHYBL_132962T0",2229,2435,2490,2143,1657,1321,1585,1508,1470
"PHYBL_132969T0",682,806,945,969,645,743,560,502,676
"PHYBL_132974T0",8695.95925541984,9529.89587042425,10713.7248675005,5600.73185590238,6196.51545021212,5038.41907310889,8011,6062.89443009959,5250.34722203444
"PHYBL_132982T0",13,25,26,23,19,11,0,0,1
"PHYBL_132990T0",4959,4970,5064,8422,5865,5933,3518,2716,3812
